Title,Authors,URL,Models,accuracy,precision,recall,f1,rmse,mse,bleu,auc,rouge
An Empirical Study on Multiple Knowledge from {C}hat{GPT} for Emotion Recognition in Conversations,"Tu, Geng  and
Liang, Bin  and
Qin, Bing  and
Wong, Kam-Fai  and
Xu, Ruifeng",https://aclanthology.org/2023.findings-emnlp.813,"transformer, Ensemble, RoBERTa(ui, xlnet, transformers, gpt-3, RNN, RoBERTa, BERT",,,,0.0,,,,,
Enhancing Emotion Recognition in Conversation via Multi-view Feature Alignment and Memorization,"Hou, Guiyang  and
Shen, Yongliang  and
Zhang, Wenqi  and
Xue, Wei  and
Lu, Weiming",https://aclanthology.org/2023.findings-emnlp.842,"kNN, transformer, Transformers(Wolf, RoBERTa∗, BERT(Devlin, transformers, xlnet, RoBERTa(Liu, GPT(Brown, gpt, RoBERTa, BERT, Bert-, rnn",,,,,,,,,
Misery Loves Complexity: Exploring Linguistic Complexity in the Context of Emotion Detection,"Singh, Pranaydeep  and
De Bruyne, Luna  and
De Clercq, Orph{\'e}e  and
Lefever, Els",https://aclanthology.org/2023.findings-emnlp.857,"BERT, transformer, RoBERTa, transformers",,,,,,,,,
Conditioning on Dialog Acts improves Empathy Style Transfer,"Qu, Renyi  and
Ungar, Lyle  and
Sedoc, Jo{\~a}o",https://aclanthology.org/2023.findings-emnlp.884,"transformer, GPT-4, ensemble, transformers, GPT-, GPT-3, RoBERTa, BERT, GPT-2, transformer-",,,,,,,,,
Evaluating Subjective Cognitive Appraisals of Emotions from Large Language Models,"Zhan, Hongli  and
Ong, Desmond  and
Li, Junyi Jessy",https://aclanthology.org/2023.findings-emnlp.962,"transformer, Transformers, GPT, GPT-3, GPT-3.5, bert",,,,0.22,,,,,
Best Practices in the Creation and Use of Emotion Lexicons,"Mohammad, Saif",https://aclanthology.org/2023.findings-eacl.136,,,,,,,21.0,,,
Global-Local Modeling with Prompt-Based Knowledge Enhancement for Emotion Inference in Conversation,"Wang, Renxi  and
Feng, Shi",https://aclanthology.org/2023.findings-eacl.158,"transformer, ensemble, LSTM, GPT, RNNs, transformers, RNN, LSTMs, GPT-3, RoBERTa, BERT, transformer-",,,,,,,,,
{PAL}: Persona-Augmented Emotional Support Conversation Generation,"Cheng, Jiale  and
Sabour, Sahand  and
Sun, Hao  and
Chen, Zhuang  and
Huang, Minlie",https://aclanthology.org/2023.findings-acl.34,"Transformer, transformers, cnn",,,,,,,,,
Emotion Cause Extraction on Social Media without Human Annotation,"Xiao, Debin  and
Xia, Rui  and
Yu, Jianfei",https://aclanthology.org/2023.findings-acl.94,"transformer, Transformers, SVM, LSTM, ensemble, svms, CNN, RNN, RoBERTa, BERT",,,,,,,,,
{A}ug{ESC}: Dialogue Augmentation with Large Language Models for Emotional Support Conversation,"Zheng, Chujie  and
Sabour, Sahand  and
Wen, Jiaxin  and
Zhang, Zheng  and
Huang, Minlie",https://aclanthology.org/2023.findings-acl.99,"transformer, GPT, transformers, GPT-3, BERT, GPT-2",,,,,,,,,
Topic and Style-aware Transformer for Multimodal Emotion Recognition,"Qiu, Shuwen  and
Sekhar, Nitesh  and
Singhal, Prateek",https://aclanthology.org/2023.findings-acl.130,"Transformers, Transformer, RNN, BERT, Roberta",,,,,,,,,
Semi-Supervised Domain Adaptation for Emotion-Related Tasks,"Hosseini, Mahshid  and
Caragea, Cornelia",https://aclanthology.org/2023.findings-acl.333,"BERT, transformers, RoBERTa",,,,,,,,,
Self-adaptive Context and Modal-interaction Modeling For Multimodal Emotion Recognition,"Yang, Haozhe  and
Gao, Xianqiang  and
Wu, Jianlong  and
Gan, Tian  and
Ding, Ning  and
Jiang, Feijun  and
Nie, Liqiang",https://aclanthology.org/2023.findings-acl.390,"Transformer, LSTM, xlnet, transformers, RNN, GRUs, BERT, GRU(Ux, GRU",,,,,,,,,
{T}rans{ESC}: Smoothing Emotional Support Conversation via Turn-Level State Transition,"Zhao, Weixiang  and
Zhao, Yanyan  and
Wang, Shilong  and
Qin, Bing",https://aclanthology.org/2023.findings-acl.420,"BERT, Transformer, Transformer-, transformers",,,,,,,,,
Towards Distribution-shift Robust Text Classification of Emotional Content,"Bulla, Luana  and
Gangemi, Aldo  and
Mongiovi{'}, Misael",https://aclanthology.org/2023.findings-acl.524,"Transformers, LSTM, CNN, Transformer-, RoBERTa, BERT, RoBerta-",,,,,,,,,
What to Fuse and How to Fuse: Exploring Emotion and Personality Fusion Strategies for Explainable Mental Disorder Detection,"Zanwar, Sourabh  and
Li, Xiaofei  and
Wiechmann, Daniel  and
Qiao, Yu  and
Kerz, Elma",https://aclanthology.org/2023.findings-acl.568,"transformer, Transformers, LSTM, CNN, RoBERTa, BERT",,,,,,,,,
{QAP}: A Quantum-Inspired Adaptive-Priority-Learning Model for Multimodal Emotion Recognition,"Li, Ziming  and
Zhou, Yan  and
Liu, Yaxin  and
Zhu, Fuqing  and
Yang, Chuanpeng  and
Hu, Songlin",https://aclanthology.org/2023.findings-acl.772,"Transformer, LSTM, transformers, CNN, LSTM†, bert",,,,,,,,,
Context or Knowledge is Not Always Necessary: A Contrastive Learning Framework for Emotion Recognition in Conversations,"Tu, Geng  and
Liang, Bin  and
Mao, Ruibin  and
Yang, Min  and
Xu, Ruifeng",https://aclanthology.org/2023.findings-acl.883,"Ensemble, transformer, RNNs, transformers, Transformer-, RNN, GRUs, BERT, Roberta",,,,,,,,,
Language and Mental Health: Measures of Emotion Dynamics from Text as Linguistic Biosocial Markers,"Teodorescu, Daniela  and
Cheng, Tiffany  and
Fyshe, Alona  and
Mohammad, Saif",https://aclanthology.org/2023.emnlp-main.188,,,,,,,,,,
Retrofitting Light-weight Language Models for Emotions using Supervised Contrastive Learning,"Shah, Sapan  and
Reddy, Sreedhar  and
Bhattacharyya, Pushpak",https://aclanthology.org/2023.emnlp-main.222,"KNN, transformer, BERT-, GPT, transformers, gpt-3.5, RoBERTa, BERT",,,,1.0,,,,,
Standardizing Distress Analysis: Emotion-Driven Distress Identification and Cause Extraction ({DICE}) in Multimodal Online Posts,"Singh, Gopendra  and
Ghosh, Soumitra  and
Verma, Atul  and
Painkra, Chetna  and
Ekbal, Asif",https://aclanthology.org/2023.emnlp-main.275,"Transformers, BERT-, CNN, lstm, RNN, RNNs, BERT, Roberta, GRU",,,,,,,,,
Modeling Empathic Similarity in Personal Narratives,"Shen, Jocelyn  and
Sap, Maarten  and
Colon-Hernandez, Pedro  and
Park, Hae  and
Breazeal, Cynthia",https://aclanthology.org/2023.emnlp-main.383,"transformer, Transformers, BERT-, GPT, gpt-3.5, GPT-3, BERT, GPT-2",0.48,0.59,0.59,0.4,,,,,
Empathy Intent Drives Empathy Detection,"Jiang, Liting  and
Wu, Di  and
Mao, Bohui  and
Li, Yanbing  and
Slamu, Wushour",https://aclanthology.org/2023.emnlp-main.386,"Transformer, transformers, RoBERTa, BERT, GRU",,,,,,,,,
From Multilingual Complexity to Emotional Clarity: Leveraging Commonsense to Unveil Emotions in Code-Mixed Dialogues,"Kumar, Shivani  and
S, Ramaneswaran  and
Akhtar, Md  and
Chakraborty, Tanmoy",https://aclanthology.org/2023.emnlp-main.598,"Transformer, xlnet, GPT, transformers, RoBERTa, BERT, GRU",,,,,,,,,
{E}-{CORE}: Emotion Correlation Enhanced Empathetic Dialogue Generation,"Fu, Fengyi  and
Zhang, Lei  and
Wang, Quan  and
Mao, Zhendong",https://aclanthology.org/2023.emnlp-main.653,"GPT(OpenAI, Transformer, transformer-",,,,,,,,,
Countering Misinformation via Emotional Response Generation,"Russo, Daniel  and
Kaszefski-Yaschuk, Shane  and
Staiano, Jacopo  and
Guerini, Marco",https://aclanthology.org/2023.emnlp-main.703,"BERT-, transformers, CNN, BERT, GPT-2",,,,,,,,,
A Training-Free Debiasing Framework with Counterfactual Reasoning for Conversational Emotion Detection,"Tu, Geng  and
Jing, Ran  and
Liang, Bin  and
Yang, Min  and
Wong, Kam-Fai  and
Xu, Ruifeng",https://aclanthology.org/2023.emnlp-main.967,"Transformer, ensemble, xlnet, RNN-, GPT, transformers, gpt-3, RNN, Bert, Roberta, transformer-",,,,,,,,,
Joyful: Joint Modality Fusion and Graph Contrastive Learning for Multimoda Emotion Recognition,"Li, Dongyuan  and
Wang, Yusong  and
Funakoshi, Kotaro  and
Okumura, Manabu",https://aclanthology.org/2023.emnlp-main.996,"Transformers, Transformer, LSTM, BERT-, xlnet, RNN, BERT, Roberta",,,,,,,,,
Federated Meta-Learning for Emotion and Sentiment Aware Multi-modal Complaint Identification,"Singh, Apoorva  and
Chandrasekar, Siddarth  and
Saha, Sriparna  and
Sen, Tanmay",https://aclanthology.org/2023.emnlp-main.999,"transformer, Transformers, LSTM, BERT-, knn, BERT",,,,,,,,,
Evaluation of {C}hinese-{E}nglish Machine Translation of Emotion-Loaded Microblog Texts: A Human Annotated Dataset for the Quality Assessment of Emotion Translation,"Qian, Shenbin  and
Orasan, Constantin  and
Carmo, Felix Do  and
Li, Qiuliang  and
Kanojia, Diptesh",https://aclanthology.org/2023.eamt-1.13,,,,,,,,,,
Analysing Mistranslation of Emotions in Multilingual Tweets by Online {MT} Tools,"Saadany, Hadeel  and
Orasan, Constantin  and
Quintana, Rocio Caro  and
Carmo, Felix Do  and
Zilio, Leonardo",https://aclanthology.org/2023.eamt-1.27,"BERT, CNN, Roberta",,,,,,,,,
Emotion Analysis from Texts,"Stajner, Sanja  and
Klinger, Roman",https://aclanthology.org/2023.eacl-tutorials.2,"ensemble, transformers, CNN, Robertas, BERT, transformer-",,,,,,,,,
A Unified Framework for Emotion Identification and Generation in Dialogues,"Madasu, Avinash  and
Firdaus, Mauajama  and
Ekbal, Asif",https://aclanthology.org/2023.eacl-srw.7,"transformer, LSTM, transformers, BERT(Up)l, GRU, GRUs, BERT, rnn, GRU(up",0.65,,,,,,,,
Empathy Identification Systems are not Accurately Accounting for Context,"Lee, Andrew  and
Kummerfeld, Jonathan K.  and
An, Larry  and
Mihalcea, Rada",https://aclanthology.org/2023.eacl-main.123,"BERT-, transformers, RNN, RoBERTa, BERT(z, BERT, GPT-2",,,,,,,,,
How people talk about each other: Modeling Generalized Intergroup Bias and Emotion,"Govindarajan, Venkata Subrahmanyan  and
Atwell, Katherine  and
Sinno, Barea  and
Alikhani, Malihe  and
Beaver, David I.  and
Li, Junyi Jessy",https://aclanthology.org/2023.eacl-main.183,"transformer, SVM, RoBERTa",,,,,,,,,
Conversational Emotion-Cause Pair Extraction with Guided Mixture of Experts,"Jeong, DongJin  and
Bak, JinYeong",https://aclanthology.org/2023.eacl-main.240,"transformer, transformers, BERT(t′, RoBERTa, BERT",,,,,,,,,
Social Media Data Analysis for {M}alayalam {Y}ou{T}ube Comments: Sentiment Analysis and Emotion Detection using {ML} and {DL} Models,"V P, Abeera  and
Kumar, Dr. Sachin  and
K P, Dr. Soman",https://aclanthology.org/2023.dravidianlangtech-1.6,"KNN, SVM, transformer, LSTM, CNN-, RNN(LSTM, RNNs),LSTM, XGBoost, CNN, RNN, CNNs, SVM),KNN, RNNs, BERT, RNN),Long, GRU",,,,,,,,,
Investigating Stylistic Profiles for the Task of Empathy Classification in Medical Narrative Essays,"Dey, Priyanka  and
Girju, Roxana",https://aclanthology.org/2023.cxgsnlp-1.8,"transformer, SVM, roBERTa, LSTM, transformers, CNN, BERT",,,,,,,,,
"Dimensional Modeling of Emotions in Text with Appraisal Theories: Corpus Creation, Annotation Reliability, and Prediction","Troiano, Enrica  and
Oberl{\""a}nder, Laura  and
Klinger, Roman",https://aclanthology.org/2023.cl-1.1,"transformer, ensemble, LSTM, transformers, RoBERTa, BERT, Grus",,,,0.57,0.68,1.0,,,
基于互信息最大化和对比损失的多模态对话情绪识别模型(Multimodal Emotion Recognition in Conversation with Mutual Information Maximization and Contrastive Loss),"Li, Qianer  and
Huang, Peijie  and
Chen, Jiawei  and
Wu, Jialin  and
Xu, Yuhong  and
Lin, Peiyuan",https://aclanthology.org/2023.ccl-1.24,"LSTM, GRUs",,,,,,,,,
Where are We in Event-centric Emotion Analysis? Bridging Emotion Role Labeling and Appraisal-based Approaches,"Klinger, Roman",https://aclanthology.org/2023.bigpicture-1.1,"BERT, transformers, RoBERTa",,,,,,,,,
{BE}mo{L}ex{BERT}: A Hybrid Model for Multilabel Textual Emotion Classification in {B}angla by Combining Transformers with Lexicon Features,"Kabir, Ahasan  and
Roy, Animesh  and
Taheri, Zaima",https://aclanthology.org/2023.banglalp-1.7,"transformer, Transformers, ensemble, LSTM, CNN, BERT",,,,,,,,,
Predicting Empathic Accuracy from User-Designer Interviews,"Nguyen, Steven  and
Beck, Daniel  and
Holtta-Otto, Katja",https://aclanthology.org/2023.alta-1.14,"BERT, BERT-",,,,,,,,,
The uncivil empathy: Investigating the relation between empathy and toxicity in online mental health support forums,"Chen, Ming-Bin  and
Lau, Jey Han  and
Frermann, Lea",https://aclanthology.org/2023.alta-1.16,transformers,,,,,,,,,
Unveiling Emotional Landscapes in Plautus and Terentius Comedies: A Computational Approach for Qualitative Analysis,"Picca, Davide  and
Richard, Caroline",https://aclanthology.org/2023.alp-1.10,,,,,,,,,,
Using Word Embeddings for Identifying Emotions Relating to the Body in a {N}eo-{A}ssyrian Corpus,"Bennett, Ellie  and
Sahala, Aleksi",https://aclanthology.org/2023.alp-1.22,,,,,,,,,,
Layer-wise Fusion with Modality Independence Modeling for Multi-modal Emotion Recognition,"Sun, Jun  and
Han, Shoukang  and
Ruan, Yu-Ping  and
Zhang, Xiaoning  and
Zheng, Shu-Kai  and
Liu, Yulong  and
Huang, Yuxin  and
Li, Taihao",https://aclanthology.org/2023.acl-long.39,"transformer, BERT, transformers",,,,,,,,,
Joint Constrained Learning with Boundary-adjusting for Emotion-Cause Pair Extraction,"Feng, Huawen  and
Liu, Junlong  and
Zheng, Junhao  and
Chen, Haibin  and
Shang, Xichen  and
Ma, Qianli",https://aclanthology.org/2023.acl-long.62,"BERT, Transformers, BERT-, BERT+GCN",,,,1.0,,,,,
Facilitating Multi-turn Emotional Support Conversation with Positive Emotion Elicitation: A Reinforcement Learning Approach,"Zhou, Jinfeng  and
Chen, Zhuang  and
Wang, Bo  and
Huang, Minlie",https://aclanthology.org/2023.acl-long.96,"BERT, transformers",,,,,,7.0,,,
Knowledge-enhanced Mixed-initiative Dialogue System for Emotional Support Conversations,"Deng, Yang  and
Zhang, Wenxuan  and
Yuan, Yifei  and
Lam, Wai",https://aclanthology.org/2023.acl-long.225,"Transformer, transformers, Transformer-, Transformer∗(Vaswani, BERT, Roberta",,,,,,,,,
{D}ual{GAT}s: Dual Graph Attention Networks for Emotion Recognition in Conversations,"Zhang, Duzhen  and
Chen, Feilong  and
Chen, Xiuyi",https://aclanthology.org/2023.acl-long.408,"Transformers, Transformer, LSTM, RNNs, LSTMs, RNN, RoBERTa, GRUs, BERT, XLNet, GRU",,,,,,,,,
Unsupervised Extractive Summarization of Emotion Triggers,"Sosea, Tiberiu  and
Zhan, Hongli  and
Li, Junyi Jessy  and
Caragea, Cornelia",https://aclanthology.org/2023.acl-long.531,"BERT, Transformers, BERT-",,,,,,,0.418,,
Supervised Adversarial Contrastive Learning for Emotion Recognition in Conversations,"Hu, Dou  and
Bao, Yinan  and
Wei, Lingwei  and
Zhou, Wei  and
Hu, Songlin",https://aclanthology.org/2023.acl-long.606,"Transformer, roberta, LSTM, transformers, RNN, GRUs, BERT, XLNet",,,,,,,,,
Label-Aware Hyperbolic Embeddings for Fine-grained Emotion Classification,"Chen, Chih Yao  and
Hung, Tun Min  and
Hsu, Yi-Li  and
Ku, Lun-Wei",https://aclanthology.org/2023.acl-long.613,"transformer, SVM, transformers, RNN, RoBERTa, BERT, GRU",,,,,,,,,
{PAL} to Lend a Helping Hand: Towards Building an Emotion Adaptive Polite and Empathetic Counseling Conversational Agent,"Mishra, Kshitij  and
Priya, Priyanshu  and
Ekbal, Asif",https://aclanthology.org/2023.acl-long.685,"transformer, GPT, GPT-2-, RoBERTa-, RoBERTa, BERT, GPT-2",,,,,,,,,
A Cross-Modality Context Fusion and Semantic Refinement Network for Emotion Recognition in Conversation,"Zhang, Xiaoheng  and
Li, Yang",https://aclanthology.org/2023.acl-long.732,"transformer, LSTM, transformers, RNN, GRUs, bert, transformer-",,,,,,,,,
{M}ulti{EMO}: An Attention-Based Correlation-Aware Multimodal Fusion Framework for Emotion Recognition in Conversations,"Shi, Tao  and
Huang, Shao-Lun",https://aclanthology.org/2023.acl-long.824,"Transformer, LSTM, transformers, CNN, LSTMs, GRU-, RoBERTa, GRUs, rnn",,,,,,2022.0,,,
A Facial Expression-Aware Multimodal Multi-task Learning Framework for Emotion Recognition in Multi-party Conversations,"Zheng, Wenjie  and
Yu, Jianfei  and
Xia, Rui  and
Wang, Shijin",https://aclanthology.org/2023.acl-long.861,"Transformer(ˆEv, Transformer, Transformer(s, Transformer(Hl−a, transformers, CNN, CNNs, Transformer(Ea, Transformer(El, RoBERTa, RNNs, BERT, rnn",,,,,,,,,
Estimating the Uncertainty in Emotion Attributes using Deep Evidential Regression,"Wu, Wen  and
Zhang, Chao  and
Woodland, Philip",https://aclanthology.org/2023.acl-long.873,"ensemble, Transformer, LSTM, transformers, svm, RoBERTa, Ensembles, BERT",,,,,,,,,
An Emotional Journey: Detecting Emotion Trajectories in {D}utch Customer Service Dialogues,"Labat, Sofie  and
Hadifar, Amir  and
Demeester, Thomas  and
Hoste, Veronique",https://aclanthology.org/2022.wnut-1.12,"transformer, SVM, LSTM, LSTMs, RNN, RoBERTa, RNNs, BERT",,,,,,2012.0,,,
Identifying Emotions in Code Mixed {H}indi-{E}nglish Tweets,"Sonu, Sanket  and
Haque, Rejwanul  and
Hasanuzzaman, Mohammed  and
Stynes, Paul  and
Pathak, Pramod",https://aclanthology.org/2022.wildre-1.7,"transformer, Transformers, SVM, LSTM, RoBERTa, RNNs, BERT",,,,,,,,,
On the Complementarity of Images and Text for the Expression of Emotions in Social Media,"Khlyzova, Anna  and
Silberer, Carina  and
Klinger, Roman",https://aclanthology.org/2022.wassa-1.1,"transformer, bert, RoBERTa",,,,,,,,,
{``}splink{''} is happy and {``}phrouth{''} is scary: Emotion Intensity Analysis for Nonsense Words,"Sabbatino, Valentino  and
Troiano, Enrica  and
Schweitzer, Antje  and
Klinger, Roman",https://aclanthology.org/2022.wassa-1.4,"BERT, Transformers, Ensemble",,,,,,,,,
{S}ent{EMO}: A Multilingual Adaptive Platform for Aspect-based Sentiment and Emotion Analysis,"De Geyndt, Ellen  and
De Clercq, Orphee  and
Van Hee, Cynthia  and
Lefever, Els  and
Singh, Pranaydeep  and
Parent, Olivier  and
Hoste, Veronique",https://aclanthology.org/2022.wassa-1.5,"transformer, SVM, BERT, svm.SVC.html",,,,,,,,,
Can Emotion Carriers Explain Automatic Sentiment Prediction? A Study on Personal Narratives,"Mousavi, Seyed Mahed  and
Roccabruna, Gabriel  and
Tammewar, Aniruddha  and
Azzolin, Steve  and
Riccardi, Giuseppe",https://aclanthology.org/2022.wassa-1.6,"Transformer, LSTM, xlnet, transformers, RoBERTa, BERT",,,,,,,,,
Emotion Analysis of Writers and Readers of {J}apanese Tweets on Vaccinations,"Ramos, Patrick John  and
Ferawati, Kiki  and
Liew, Kongmeng  and
Aramaki, Eiji  and
Wakamiya, Shoko",https://aclanthology.org/2022.wassa-1.10,"SVM, Transformers, SVMs, LSTMs, CNNs, RoBERTa, RNNs, BERT",0.356,,,,,0.09,,,
{E}nglish-{M}alay Word Embeddings Alignment for Cross-lingual Emotion Classification with Hierarchical Attention Network,"Lim, Ying Hao  and
Liew, Jasy Suet Yan",https://aclanthology.org/2022.wassa-1.12,"BERT, LSTM, RoBERTa",,,,,,,,,
{XLM}-{EMO}: Multilingual Emotion Prediction in Social Media Text,"Bianchi, Federico  and
Nozza, Debora  and
Hovy, Dirk",https://aclanthology.org/2022.wassa-1.18,"BERT, RoBERTa-, RoBERTa",,,,,,,,,
"{WASSA} 2022 Shared Task: Predicting Empathy, Emotion and Personality in Reaction to News Stories","Barriere, Valentin  and
Tafreshi, Shabnam  and
Sedoc, Jo{\~a}o  and
Alqahtani, Sawsan",https://aclanthology.org/2022.wassa-1.20,"transformer, Ensemble, transformers, CNN, RNN, GPT-3, RoBERTa, bert",,,,,,,,,
{IUCL} at {WASSA} 2022 Shared Task: A Text-only Approach to Empathy and Emotion Detection,"Chen, Yue  and
Ju, Yingnan  and
K{\""u}bler, Sandra",https://aclanthology.org/2022.wassa-1.21,"transformer, SVMs, transformers, RoBERTa, BERT, transformer-",,0.599,0.555,0.585,,,,,
Continuing Pre-trained Model with Multiple Training Strategies for Emotional Classification,"Li, Bin  and
Weng, Yixuan  and
Song, Qiya  and
Sun, Bin  and
Li, Shutao",https://aclanthology.org/2022.wassa-1.22,"transformer, ensemble, GPT, transformers, RoBERTa, BERT, cnn",,,0.124,0.108,,,,,
Empathy and Distress Prediction using Transformer Multi-output Regression and Emotion Analysis with an Ensemble of Supervised and Zero-Shot Learning Models,"Del Arco, Flor Miriam  and
Collado-Monta{\~n}ez, Jaime  and
Ure{\~n}a, L. Alfonso  and
Mart{\'\i}n-Valdivia, Mar{\'\i}a-Teresa",https://aclanthology.org/2022.wassa-1.23,"Ensemble, Transformer, transformers, GPT-3, RoBERTa, BERT, bert-",,,,,,,,,
Leveraging Emotion-Specific features to improve Transformer performance for Emotion Classification,"Desai, Shaily  and
Kshirsagar, Atharva  and
Sidnerlikar, Aditi  and
Khodake, Nikhil  and
Marathe, Manisha",https://aclanthology.org/2022.wassa-1.24,"Transformers, Transformer, ensemble, RoBERTa(E, RoBERTa, Bert",,,,,,,,,
Transformer based ensemble for emotion detection,"Kane, Aditya  and
Patankar, Shantanu  and
Khose, Sahil  and
Kirtane, Neeraja",https://aclanthology.org/2022.wassa-1.25,"ensemble, Transformer, transformers, XLNET, GPT-3, RoBERTa, BERT",,,,,,,,,
"Team {IITP}-{AINLPML} at {WASSA} 2022: Empathy Detection, Emotion Classification and Personality Detection","Ghosh, Soumitra  and
Maurya, Dhirendra  and
Ekbal, Asif  and
Bhattacharyya, Pushpak",https://aclanthology.org/2022.wassa-1.26,"transformer, Transformers, SVM, SVMs, RoBERTa, BERT",,,,0.524,,,,,
Transformer-based Architecture for Empathy Prediction and Emotion Classification,"Vasava, Himil  and
Uikey, Pramegh  and
Wasnik, Gaurav  and
Sharma, Raksha",https://aclanthology.org/2022.wassa-1.27,"Transformers, Transformer, RoBERTa, RNNs, bert",,,0.7,,,,,,
"{SURREY}-{CTS}-{NLP} at {WASSA}2022: An Experiment of Discourse and Sentiment Analysis for the Prediction of Empathy, Distress and Emotion","Qian, Shenbin  and
Orasan, Constantin  and
Kanojia, Diptesh  and
Saadany, Hadeel  and
Do Carmo, F{\'e}lix",https://aclanthology.org/2022.wassa-1.29,"transformer, ensemble, transformers, RoBERTa, BERT",0.634,0.534,0.564,0.571,,,,,
An Ensemble Approach to Detect Emotions at an Essay Level,"Maheshwari, Himanshu  and
Varma, Vasudeva",https://aclanthology.org/2022.wassa-1.30,"Ensemble, Bert, RoBERTa",0.661,0.584,0.661,0.585,,,,,
{CAISA} at {WASSA} 2022: Adapter-Tuning for Empathy Prediction,"Lahnala, Allison  and
Welch, Charles  and
Flek, Lucie",https://aclanthology.org/2022.wassa-1.31,"transformer, bert, RoBERTA, transformers",,,,0.604,,,,,
"Baseline {E}nglish and {M}altese-{E}nglish Classification Models for Subjectivity Detection, Sentiment Analysis, Emotion Analysis, Sarcasm Detection, and Irony Detection","Cortis, Keith  and
Davis, Brian",https://aclanthology.org/2022.sigul-1.21,"Transformers, SVM, Transformer, ensemble, svm.NuSVC.html, CNN, BERT",,,,,,,,,
{YNU}-{HPCC} at {S}em{E}val-2022 Task 5: Multi-Modal and Multi-label Emotion Classification Based on {LXMERT},"Han, Chao  and
Wang, Jin  and
Zhang, Xuejie",https://aclanthology.org/2022.semeval-1.104,"ensemble, Transformer, LSTM, transformers, CNN, BERT, cnn-",,,,,,,,,
Invited talk: From Data to Meaning in Representation of Emotions,"Fensel, Anna",https://aclanthology.org/2022.salld-1.1,,,,,,,,,,
Do Multimodal Emotion Recognition Models Tackle Ambiguity?,"Tran, H{\'e}l{\`e}ne  and
Falih, Issam  and
Goblet, Xavier  and
Mephu Nguifo, Engelbert",https://aclanthology.org/2022.pvlam-1.2,"Transformer, LSTM, transformers, RNN, RNNs, GRU",,,,,,,,,
Emotions Running High? A Synopsis of the state of {T}urkish Politics through the {P}arla{M}int Corpus,"Kurto{\u{g}}lu Eski{\c{s}}ar, G{\""u}l M.  and
{\c{C}}{\""o}ltekin, {\c{C}}a{\u{g}}r{\i}",https://aclanthology.org/2022.parlaclarin-1.10,SVM,,,,,,,,,
{S}tud{E}mo: A Non-aggregated Review Dataset for Personalized Emotion Recognition,"Ngo, Anh  and
Candri, Agri  and
Ferdinan, Teddy  and
Kocon, Jan  and
Korczynski, Wojciech",https://aclanthology.org/2022.nlperspectives-1.7,"transformer, bert+attention, ensemble, LSTM, transformers, CNN, Ensembles, RoBERTa, BERT, GRU",,,,,,,,,
Variation in the Expression and Annotation of Emotions: A {W}izard of {O}z Pilot Study,"Labat, Sofie  and
Ackaert, Naomi  and
Demeester, Thomas  and
Hoste, Veronique",https://aclanthology.org/2022.nlperspectives-1.9,,,,,,,,,,
Improving the Generalizability of Text-Based Emotion Detection by Leveraging Transformers with Psycholinguistic Features,"Zanwar, Sourabh  and
Wiechmann, Daniel  and
Qiao, Yu  and
Kerz, Elma",https://aclanthology.org/2022.nlpcss-1.1,"transformer, Transformers, SVM, LSTM, BERT+PsyLing, BERT-, CNN, RoBERTa+PsyLing, CNNs, RoBERTa-, RoBERTa, BERT, XLNet, rnn",,,,,,,,,
Experiencer-Specific Emotion and Appraisal Prediction,"Wegge, Maximilian  and
Troiano, Enrica  and
Oberlaender, Laura Ana Maria  and
Klinger, Roman",https://aclanthology.org/2022.nlpcss-1.3,"BERT, RoBERTa",,,,,,,,,
Emotion Conditioned Creative Dialog Generation,"Alnajjar, Khalid  and
H{\""a}m{\""a}l{\""a}inen, Mika",https://aclanthology.org/2022.nlp4dh-1.20,"transformer, Transformers, LSTM, RoBERTa, GPT-2",0.6,,,,,,,,
Static and Dynamic Speaker Modeling based on Graph Neural Network for Emotion Recognition in Conversation,"Saxena, Prakhar  and
Huang, Yin Jou  and
Kurohashi, Sadao",https://aclanthology.org/2022.naacl-srw.31,"bert, RoBERTa",,,,,,,,,
Empathic Machines: Using Intermediate Features as Levers to Emulate Emotions in Text-To-Speech Systems,"Kosgi, Saiteja  and
Sivaprasad, Sarath  and
Pedanekar, Niranjan  and
Nelakanti, Anil  and
Gandhi, Vineet",https://aclanthology.org/2022.naacl-main.26,"transformer, Ensemble, roberta, BERT, rnn",,,,,,,,,
Beyond Emotion: A Multi-Modal Dataset for Human Desire Understanding,"Jia, Ao  and
He, Yu  and
Zhang, Yazhou  and
Uprety, Sagar  and
Song, Dawei  and
Lioma, Christina",https://aclanthology.org/2022.naacl-main.108,"SVM, Transformer, LSTM, transformers, CNN, BERT, BERT+ResNet",,,,,,,,,
{COGMEN}: {CO}ntextualized {GNN} based Multimodal Emotion recognitio{N},"Joshi, Abhinav  and
Bhat, Ashwani  and
Jain, Ayush  and
Singh, Atin  and
Modi, Ashutosh",https://aclanthology.org/2022.naacl-main.306,"transformer, LSTM, BERT-, transformers, RNN, RoBERTa, XLnet, BERT, transformer-, GRU",,,,,,,,,
Mitigating Toxic Degeneration with Empathetic Data: Exploring the Relationship Between Toxicity and Empathy,"Lahnala, Allison  and
Welch, Charles  and
Neuendorf, B{\'e}la  and
Flek, Lucie",https://aclanthology.org/2022.naacl-main.363,"bert, Transformer, GPT-2, RoBERTa",,,,,,,,,
